,Symbol
151,360ONE
43,ABB
1,ABCAPITAL
2,ADANIENSOL
152,ADANIENT
138,ADANIGREEN
139,ADANIPORTS
17,ADANIPOWER
114,ALKEM
188,AMBER
18,AMBUJACEM
202,ANGELONE
19,APLAPOLLO
104,APOLLOHOSP
115,ASHOKLEY
161,ASIANPAINT
116,ASTRAL
215,AUBANK
20,AUROPHARMA
57,AXISBANK
65,BAJAJ-AUTO
140,BAJAJFINSV
21,BAJAJHLDNG
189,BAJFINANCE
203,BANDHANBNK
117,BANKBARODA
80,BANKINDIA
22,BANKNIFTY
44,BDL
54,BEL
95,BHARATFORG
118,BHARTIARTL
45,BHEL
81,BIOCON
141,BLUESTARCO
66,BOSCHLTD
119,BPCL
162,BRITANNIA
23,BSE
204,CAMS
190,CANBK
24,CDSL
46,CGPOWER
120,CHOLAFIN
67,CIPLA
82,COALINDIA
58,COCHINSHIP
176,COFORGE
83,COLPAL
41,CONCOR
96,CROMPTON
121,CUMMINSIND
142,DABUR
25,DALBHARAT
105,DELHIVERY
122,DIVISLAB
106,DIXON
68,DLF
191,DMART
69,DRREDDY
26,EICHERMOT
59,ETERNAL
70,EXIDEIND
93,FEDERALBNK
192,FINNIFTY
84,FORCEMOT
107,FORTIS
177,GAIL
108,GLENMARK
47,GMRAIRPORT
3,GODFRYPHLP
85,GODREJCP
71,GODREJPROP
163,GRASIM
60,GVT&D
55,HAL
178,HAVELLS
48,HCLTECH
143,HDFCAMC
179,HDFCBANK
164,HDFCLIFE
180,HEROMOTOCO
205,HINDALCO
61,HINDPETRO
109,HINDUNILVR
193,HINDZINC
206,HYUNDAI
165,ICICIBANK
166,ICICIGI
113,ICICIPRULI
110,IDEA
62,IDFCFIRSTB
123,IEX
4,INDHOTEL
5,INDIANB
27,INDIGO
124,INDUSINDBK
97,INDUSTOWER
167,INFY
6,INOXWIND
144,IOC
194,IREDA
207,IRFC
145,ITC
7,JINDALSTEL
28,JIOFIN
137,JSWENERGY
153,JSWSTEEL
49,JUBLFOOD
125,KALYANKJIL
29,KAYNES
30,KEI
168,KFINTECH
72,KOTAKBANK
94,KPITTECH
126,LAURUSLABS
195,LICHSGFIN
154,LICI
64,LODHA
86,LT
127,LTF
196,LTM
197,LUPIN
79,M&M
128,MANAPPURAM
181,MANKIND
129,MARICO
169,MARUTI
146,MAXHEALTH
182,MAZDOCK
183,MCX
42,MFSL
208,MIDCPNIFTY
130,MOTHERSON
131,MOTILALOFS
8,MPHASIS
170,MUTHOOTFIN
98,NAM-INDIA
73,NATIONALUM
209,NAUKRI
111,NBCC
9,NESTLEIND
74,NHPC
0,NIFTY
147,NIFTYNXT50
87,NMDC
15,NTPC
184,NUVAMA
31,NYKAA
56,OBEROIRLTY
148,OFSS
88,OIL
50,ONGC
32,PAGEIND
99,PATANJALI
75,PAYTM
33,PERSISTENT
185,PETRONET
171,PFC
76,PGEL
89,PHOENIXLTD
149,PIDILITIND
90,PIIND
51,PNB
34,PNBHOUSING
160,POLICYBZR
112,POLYCAB
52,POWERGRID
100,POWERINDIA
155,PREMIERENE
10,PRESTIGE
198,RADICO
11,RBLBANK
210,RECLTD
132,RELIANCE
199,RVNL
156,SAIL
172,SAMMAANCAP
211,SBICARD
35,SBILIFE
150,SBIN
12,SHREECEM
200,SHRIRAMFIN
186,SIEMENS
101,SOLARINDS
53,SONACOMS
133,SRF
173,SUNPHARMA
174,SUPREMEIND
157,SUZLON
134,SWIGGY
91,TATACONSUM
16,TATAELXSI
102,TATAPOWER
13,TATASTEEL
14,TCS
77,TECHM
36,TIINDIA
37,TITAN
201,TMPV
212,TORNTPHARM
38,TRENT
63,TVSMOTOR
78,ULTRACEMCO
39,UNIONBANK
187,UNITDSPR
175,UNOMINDA
158,UPL
213,VBL
159,VEDL
135,VMM
103,VOLTAS
214,WAAREEENER
92,WIPRO
40,YESBANK
136,ZYDUSLIFE
